TimeStep	 Blip Population	 Blip Speed	 Blip Vision	  Predator Population	 Predator Speed	 Predator Vision
234	342	1,54541	6,08815	0	0	0
235	344	1,548587	6,105986	0	0	0
236	345	1,551751	6,100893	0	0	0
237	347	1,553585	6,107848	0	0	0
238	347	1,553347	6,099272	0	0	0
239	347	1,554464	6,098405	0	0	0
240	350	1,556447	6,09349	0	0	0
241	351	1,561632	6,110558	0	0	0
242	353	1,560134	6,111653	0	0	0
243	356	1,558215	6,118683	0	0	0
244	363	1,554732	6,119034	0	0	0
245	366	1,556688	6,11561	0	0	0
246	367	1,556185	6,113363	0	0	0
247	367	1,556667	6,116774	0	0	0
248	372	1,563161	6,130936	0	0	0
249	372	1,564763	6,129888	0	0	0
250	375	1,564601	6,130122	0	0	0
251	375	1,569241	6,127058	0	0	0
252	379	1,57208	6,12274	0	0	0
253	383	1,571758	6,119948	0	0	0
254	389	1,5664	6,134982	0	0	0
255	389	1,566387	6,130198	0	0	0
256	388	1,566089	6,122007	0	0	0
257	389	1,566877	6,117116	0	0	0
258	393	1,564973	6,110846	0	0	0
259	400	1,566291	6,103467	0	0	0
260	400	1,564071	6,098098	0	0	0
261	404	1,564824	6,1176	0	0	0
262	405	1,563928	6,104515	0	0	0
263	406	1,570693	6,096576	0	0	0
264	407	1,569966	6,090589	0	0	0
265	411	1,579432	6,094626	0	0	0
266	412	1,582397	6,091919	0	0	0
267	413	1,582426	6,096838	0	0	0
268	417	1,584422	6,099954	0	0	0
269	418	1,585666	6,105467	0	0	0
270	421	1,588589	6,104154	0	0	0
271	420	1,585518	6,126911	0	0	0
272	423	1,587044	6,122806	0	0	0
273	426	1,584835	6,115292	0	0	0
274	428	1,584317	6,1183	0	0	0
275	432	1,582725	6,110519	0	0	0
276	433	1,585153	6,11228	0	0	0
277	435	1,585551	6,111777	0	0	0
278	439	1,588309	6,113017	0	0	0
279	440	1,588713	6,115681	0	0	0
280	445	1,586759	6,123528	0	0	0
281	447	1,591124	6,131983	0	0	0
282	448	1,590486	6,13015	0	0	0
283	451	1,589283	6,137938	0	0	0
284	451	1,589283	6,137938	0	0	0
285	454	1,59214	6,129013	0	0	0
286	456	1,587341	6,124768	0	0	0
287	459	1,587691	6,126342	0	0	0
288	462	1,585667	6,128472	0	0	0
289	465	1,585538	6,119583	0	0	0
290	462	1,586355	6,122542	0	0	0
291	463	1,585048	6,126053	0	0	0
292	465	1,590038	6,11544	0	0	0
293	473	1,593861	6,114588	0	0	0
294	477	1,59541	6,121365	0	0	0
295	479	1,594048	6,126026	0	0	0
296	480	1,589434	6,131136	0	0	0
297	481	1,589693	6,129395	0	0	0
298	484	1,592198	6,133198	0	0	0
299	487	1,594073	6,14175	0	0	0
300	489	1,593667	6,144796	0	0	0
301	488	1,59271	6,148995	0	0	0
302	491	1,586254	6,139189	0	0	0
303	492	1,585725	6,137557	0	0	0
304	492	1,588276	6,135301	0	0	0
305	499	1,590438	6,112206	0	0	0
306	499	1,589871	6,119092	0	0	0
307	499	1,590726	6,123384	0	0	0
308	502	1,588871	6,116771	0	0	0
309	504	1,592292	6,095312	0	0	0
310	508	1,592668	6,100768	0	0	0
311	512	1,591285	6,106986	0	0	0
312	509	1,59321	6,119871	0	0	0
313	512	1,593839	6,118706	0	0	0
314	516	1,591194	6,120625	0	0	0
315	522	1,593264	6,118695	0	0	0
316	521	1,593199	6,120346	0	0	0
317	516	1,596944	6,124161	0	0	0
318	517	1,596455	6,130489	0	0	0
319	522	1,59608	6,139413	0	0	0
320	522	1,597105	6,135071	0	0	0
321	522	1,599201	6,12923	0	0	0
322	528	1,595572	6,129659	0	0	0
323	527	1,592719	6,131896	0	0	0
324	529	1,590409	6,132286	0	0	0
325	529	1,591038	6,131624	0	0	0
326	530	1,59374	6,126489	0	0	0
327	529	1,593966	6,12106	0	0	0
328	531	1,596794	6,120481	0	0	0
329	538	1,591868	6,123924	0	0	0
330	539	1,591784	6,116714	0	0	0
331	539	1,59255	6,117658	0	0	0
332	539	1,592556	6,125213	0	0	0
333	545	1,592116	6,117169	0	0	0
334	548	1,588468	6,13191	0	0	0
335	546	1,585442	6,127736	0	0	0
336	545	1,584649	6,131917	0	0	0
337	548	1,585535	6,132118	0	0	0
338	548	1,584336	6,131545	0	0	0
339	544	1,588166	6,136035	0	0	0
340	544	1,585796	6,132818	0	0	0
341	545	1,585015	6,128688	0	0	0
342	545	1,592186	6,123662	0	0	0
343	544	1,589414	6,126855	0	0	0
344	546	1,584541	6,129155	0	0	0
345	545	1,583402	6,14587	0	0	0
346	550	1,584198	6,142551	0	0	0
347	550	1,583485	6,146465	0	0	0
348	552	1,585326	6,146915	0	0	0
349	551	1,584845	6,148511	0	0	0
350	549	1,583748	6,150533	0	0	0
351	552	1,586417	6,144834	0	0	0
352	554	1,583142	6,159574	0	0	0
