TimeStep	 Blip Population	 Blip Speed	 Blip Vision	 Blips Born	 Blips Died	 Predator Population	 Predator Speed	 Predator Vision	 Predators Born	 Predators Died
177	239	1,585482	8,322253	10	6	16	2,623696	8,723387	0	0
178	236	1,584707	8,319625	1	4	16	2,623696	8,723387	0	0
179	240	1,585182	8,32731	7	3	16	2,623696	8,723387	0	0
180	235	1,586086	8,321919	2	7	15	2,645471	8,721995	0	1
181	233	1,588589	8,330516	5	7	15	2,645471	8,721995	0	0
182	233	1,591954	8,305883	6	6	15	2,645471	8,721995	0	0
183	233	1,590425	8,307879	3	3	15	2,645471	8,721995	0	0
184	236	1,59272	8,32529	8	5	13	2,667682	8,706328	0	2
185	235	1,592847	8,336462	5	6	13	2,667682	8,706328	0	0
186	231	1,593136	8,359366	3	7	13	2,667682	8,706328	0	0
187	230	1,584234	8,358399	7	8	13	2,667682	8,706328	0	0
188	232	1,582046	8,361383	2	0	13	2,667682	8,706328	0	0
189	231	1,581902	8,358734	4	5	13	2,667682	8,706328	0	0
190	231	1,585654	8,342445	3	3	13	2,667682	8,706328	0	0
191	233	1,583912	8,340251	7	5	13	2,667682	8,706328	0	0
192	235	1,583054	8,35561	3	1	13	2,667682	8,706328	0	0
193	239	1,582763	8,333579	8	4	13	2,667682	8,706328	0	0
194	241	1,58359	8,348972	5	3	11	2,707778	8,727731	0	2
195	237	1,583171	8,332677	4	8	11	2,707778	8,727731	0	0
196	240	1,577396	8,34714	6	3	11	2,707778	8,727731	0	0
197	240	1,573677	8,340652	3	3	11	2,707778	8,727731	0	0
198	241	1,575537	8,328794	5	4	11	2,707778	8,727731	0	0
199	239	1,578622	8,333414	4	6	11	2,707778	8,727731	0	0
200	242	1,584216	8,324316	9	6	8	2,759372	8,777134	0	3
201	243	1,584048	8,336115	3	2	8	2,759372	8,777134	0	0
202	239	1,589157	8,345551	2	6	8	2,759372	8,777134	0	0
203	234	1,589528	8,356487	3	8	8	2,759372	8,777134	0	0
204	230	1,586724	8,354357	3	7	8	2,759372	8,777134	0	0
205	230	1,588027	8,350266	5	5	8	2,759372	8,777134	0	0
206	230	1,583708	8,353293	6	6	8	2,759372	8,777134	0	0
207	234	1,583661	8,358964	6	2	8	2,759372	8,777134	0	0
208	231	1,581295	8,370188	4	7	8	2,759372	8,777134	0	0
209	232	1,584882	8,362415	3	2	8	2,759372	8,777134	0	0
210	236	1,58351	8,354872	5	1	8	2,759372	8,777134	0	0
211	236	1,582212	8,357337	5	5	8	2,759372	8,777134	0	0
212	229	1,583188	8,354291	2	9	8	2,759372	8,777134	0	0
213	236	1,583157	8,357011	9	2	9	2,780061	8,713447	1	0
214	238	1,587312	8,336605	6	4	9	2,780061	8,713447	0	0
215	238	1,586924	8,336686	5	5	9	2,780061	8,713447	0	0
216	242	1,585137	8,33438	9	5	9	2,780061	8,713447	0	0
217	240	1,581789	8,322289	5	7	9	2,780061	8,713447	0	0
218	237	1,578748	8,333242	4	7	9	2,780061	8,713447	0	0
219	235	1,581712	8,34227	3	5	9	2,780061	8,713447	0	0
220	235	1,585629	8,351706	6	6	9	2,780061	8,713447	0	0
221	235	1,589537	8,333656	3	3	9	2,780061	8,713447	0	0
222	237	1,592512	8,330705	6	4	9	2,780061	8,713447	0	0
223	240	1,594797	8,318595	6	3	9	2,780061	8,713447	0	0
224	241	1,602128	8,339993	7	6	9	2,780061	8,713447	0	0
225	239	1,602441	8,364393	3	5	9	2,780061	8,713447	0	0
226	241	1,603977	8,362698	7	5	9	2,780061	8,713447	0	0
227	236	1,596522	8,353063	5	10	9	2,780061	8,713447	0	0
228	237	1,596227	8,343656	2	1	9	2,780061	8,713447	0	0
229	234	1,599025	8,34185	5	8	9	2,780061	8,713447	0	0
230	237	1,603067	8,347478	5	2	9	2,780061	8,713447	0	0
231	240	1,606177	8,350533	8	5	9	2,780061	8,713447	0	0
232	239	1,604376	8,371117	5	6	9	2,780061	8,713447	0	0
233	245	1,607944	8,370127	10	4	9	2,780061	8,713447	0	0
234	239	1,609697	8,366222	2	8	9	2,780061	8,713447	0	0
235	237	1,6112	8,37238	3	5	10	2,808391	8,745625	1	0
236	239	1,609371	8,381795	5	3	10	2,808391	8,745625	0	0
237	236	1,61243	8,390759	4	7	10	2,808391	8,745625	0	0
238	239	1,617388	8,385363	5	2	10	2,808391	8,745625	0	0
239	238	1,624047	8,370572	4	5	10	2,808391	8,745625	0	0
240	236	1,622449	8,372496	2	4	10	2,808391	8,745625	0	0
